year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,1
2020,cancers,20,female,total,20
2020,cancers,25,female,total,85
2020,cancers,30,female,total,161
2020,cancers,35,female,total,184
2020,cancers,40,female,total,211
2020,cancers,45,female,total,225
2020,cancers,50,female,total,216
2020,cancers,55,female,total,230
2020,cancers,60,female,total,168
2020,cancers,65,female,total,128
2020,cancers,70,female,total,61
2020,cancers,75,female,total,42
2020,cancers,80,female,total,33
2020,cancers,85,female,total,11
